key,context,font_role,note,ko-KR,en-US
card.public.catalog.c070.name,카드 이름,title,,"완전 포위","Complete Encirclement"
card.public.catalog.c070.description,카드 설명,tooltip,,"모든 적에게 Opening 1스택. 모든 대원의 다음 기본 공격 피해 +10, 기본 공격 대기시간 즉시 완료","Apply 1 stack of Opening to all enemies, increase every operator's next basic attack damage by 10, and immediately ready all basic attacks."
card.public.catalog.c071.name,카드 이름,title,,"공격 강화","Power Boost"
card.public.catalog.c071.description,카드 설명,tooltip,,"대원 1명에게 Power 1스택, 10초","Grant 1 stack of Power to one operator for 10 seconds."
card.public.catalog.c072.name,카드 이름,title,,"신속 강화","Speed Boost"
card.public.catalog.c072.description,카드 설명,tooltip,,"대원 1명에게 Speed 1스택, 10초","Grant 1 stack of Speed to one operator for 10 seconds."
card.public.catalog.c073.name,카드 이름,title,,"집중 사격","Focus Fire"
card.public.catalog.c073.description,카드 설명,tooltip,,"지정 대원은 8초 동안 지정 적을 우선 공격","The designated operator prioritizes the designated enemy for 8 seconds."
card.public.catalog.c074.name,카드 이름,title,,"약점 노출","Expose Weakness"
card.public.catalog.c074.description,카드 설명,tooltip,,"적 1명에게 Opening 1스택, 10초","Apply 1 stack of Opening to one enemy for 10 seconds."
card.public.catalog.c075.name,카드 이름,title,,"불꽃의 맹세","Oath of Flame"
card.public.catalog.c075.description,카드 설명,tooltip,,"다음 3회 공격이 Fire 1스택 부여","The next 3 attacks apply 1 stack of Fire."
card.public.catalog.c076.name,카드 이름,title,,"출혈의 맹세","Oath of Bleeding"
card.public.catalog.c076.description,카드 설명,tooltip,,"다음 3회 공격이 Blood 1스택 부여","The next 3 attacks apply 1 stack of Blood."
card.public.catalog.c077.name,카드 이름,title,,"독성 탄두","Toxic Warhead"
card.public.catalog.c077.description,카드 설명,tooltip,,"다음 3회 공격이 Poison 1스택 부여","The next 3 attacks apply 1 stack of Poison."
card.public.catalog.c078.name,카드 이름,title,,"이중 전개","Dual Deployment"
card.public.catalog.c078.description,카드 설명,tooltip,,"대원 1명에게 DualSide 8초","Apply DualSide to one operator for 8 seconds."
card.public.catalog.c079.name,카드 이름,title,,"연속 공격","Consecutive Attack"
card.public.catalog.c079.description,카드 설명,tooltip,,"다음 3회 기본 공격이 50% 위력으로 2회 판정","The next 3 basic attacks hit twice at 50% power."
card.public.catalog.c080.name,카드 이름,title,,"파워 전환","Power Conversion"
card.public.catalog.c080.description,카드 설명,tooltip,,"Speed 1스택을 제거하고 Power 2스택","Remove 1 stack of Speed and grant 2 stacks of Power."
card.public.catalog.c081.name,카드 이름,title,,"속도 전환","Speed Conversion"
card.public.catalog.c081.description,카드 설명,tooltip,,"Power 1스택을 제거하고 Speed 2스택","Remove 1 stack of Power and grant 2 stacks of Speed."
card.public.catalog.c082.name,카드 이름,title,,"정화 명령","Purge Order"
card.public.catalog.c082.description,카드 설명,tooltip,,"대원의 해로운 상태 최대 2개 제거","Remove up to 2 harmful statuses from an operator."
card.public.catalog.c083.name,카드 이름,title,,"상태 역전","Status Reversal"
card.public.catalog.c083.description,카드 설명,tooltip,,"적의 Fire/Blood/Poison을 제거하고 스택당 피해 10","Remove Fire, Blood, and Poison from an enemy and deal 10 damage per stack."
card.public.catalog.c084.name,카드 이름,title,,"개방의 순간","Moment of Opening"
card.public.catalog.c084.description,카드 설명,tooltip,,"Opening 상태 적의 지속시간 +5초, 피해 15","Extend Opening on affected enemies by 5 seconds and deal 15 damage to them."
card.public.catalog.c085.name,카드 이름,title,,"기절 확산","Stun Spread"
card.public.catalog.c085.description,카드 설명,tooltip,,"대상 Stun 1.5초, 주변 적 Stun 0.75초","Stun the target for 1.5 seconds and nearby enemies for 0.75 seconds."
card.public.catalog.c086.name,카드 이름,title,,"전위의 방패","Vanguard's Shield"
card.public.catalog.c086.description,카드 설명,tooltip,,"전위 대원에게 보호막 30. 대상 체력이 50% 이하면 추가 15","Grant 30 Shield to a Vanguard operator, plus 15 if their health is 50% or lower."
card.public.catalog.c087.name,카드 이름,title,,"전위 돌파","Vanguard Breakthrough"
card.public.catalog.c087.description,카드 설명,tooltip,,"전위 대원에게 Power 1스택. 다음 공격이 Stun 1초","Grant 1 stack of Power to a Vanguard operator. Their next attack Stuns for 1 second."
card.public.catalog.c088.name,카드 이름,title,,"사수 관측","Shooter Observation"
card.public.catalog.c088.description,카드 설명,tooltip,,"사수 대원의 다음 공격 피해 +20, 대상에게 Opening 1스택","Increase a Shooter operator's next attack damage by 20 and apply 1 stack of Opening to the target."
card.public.catalog.c089.name,카드 이름,title,,"사수 일제","Shooter Volley"
card.public.catalog.c089.description,카드 설명,tooltip,,"모든 사수 대원에게 Speed 1스택, 8초, 1장 드로우","Grant 1 stack of Speed to all Shooter operators for 8 seconds and draw 1 card."
card.public.catalog.c090.name,카드 이름,title,,"술사의 공명","Mage's Resonance"
card.public.catalog.c090.description,카드 설명,tooltip,,"술사의 다음 상태 부여가 추가로 1스택 적용되고 1장 드로우","A Mage's next status application adds 1 extra stack. Draw 1 card."
card.public.catalog.c091.name,카드 이름,title,,"술식 과부하","Spell Overload"
card.public.catalog.c091.description,카드 설명,tooltip,,"술사 대원에게 Power 2스택, 8초. 체력 10 소모","Grant 2 stacks of Power to a Mage operator for 8 seconds and spend 10 of their Health."
card.public.catalog.c092.name,카드 이름,title,,"척후 급습","Scout Ambush"
card.public.catalog.c092.description,카드 설명,tooltip,,"척후 대원의 Opening 대상 공격 피해 +30, 1장 드로우","Increase a Scout operator's attack damage against targets with Opening by 30 and draw 1 card."
card.public.catalog.c093.name,카드 이름,title,,"척후 연계","Scout Link"
card.public.catalog.c093.description,카드 설명,tooltip,,"척후 대원에게 Speed 1스택, 8초. 해당 시간 내 처치 시 에너지 1 회복","Grant 1 stack of Speed to a Scout operator for 8 seconds. Restore 1 Energy if they defeat an enemy during that time."
card.public.catalog.c094.name,카드 이름,title,,"지원의 응급망","Support Emergency Network"
card.public.catalog.c094.description,카드 설명,tooltip,,"지원 대원이 있을 때 모든 대원 체력 10 회복, 코어 보호막 15","If a Support operator is present, restore 10 Health to all operators and 15 Core Shield."
card.public.catalog.c095.name,카드 이름,title,,"지원 지휘망","Support Command Network"
card.public.catalog.c095.description,카드 설명,tooltip,,"지원 대원이 있으면 3장 드로우, 모든 대원에게 보호막 15","If a Support operator is present, draw 3 cards and grant 15 Shield to all operators."
card.public.catalog.c096.name,카드 이름,title,,"콤보 시동","Combo Starter"
card.public.catalog.c096.description,카드 설명,tooltip,,"Combo 자원을 사용하는 대원에게 2스택. 대상이 없으면 1장 드로우","Grant 2 Combo stacks to an operator who uses Combo. If there is no valid target, draw 1 card."
card.public.catalog.c097.name,카드 이름,title,,"준비 완료","All Set"
card.public.catalog.c097.description,카드 설명,tooltip,,"Ready 자원을 사용하는 대원에게 1스택. 이미 있으면 다음 액티브 비용 -1","Grant 1 Ready stack to an operator who uses Ready. If they already have Ready, reduce their next active skill's cost by 1."
card.public.catalog.c098.name,카드 이름,title,,"별가루 분광","Star Powder Prism"
card.public.catalog.c098.description,카드 설명,tooltip,,"StarPowder 자원 2 획득. 다음 관련 액티브의 자원 비용 -1","Gain 2 StarPowder. Reduce the resource cost of the next related active skill by 1."
card.public.catalog.c099.name,카드 이름,title,,"비상 키트","Emergency Field Kit"
card.public.catalog.c099.description,카드 설명,tooltip,,"EmergencyKit 1개 획득. 체력 30% 이하가 되면 체력 30 회복 및 해로운 상태 1개 제거","Gain 1 EmergencyKit. When Health falls to 30% or lower, restore 30 Health and remove 1 harmful status."
card.public.catalog.c100.name,카드 이름,title,,"최종 방어 명령","Final Defense Order"
card.public.catalog.c100.description,카드 설명,tooltip,,"코어 보호막 100 회복, 모든 적 Stun 2초, 카드 3장 드로우","Restore 100 Core Shield, Stun all enemies for 2 seconds, and draw 3 cards."
enemy.catalog.g001.name,적 이름,title,,"기본 잔재","Basic Remnant"
enemy.catalog.g001.description,적 설명,tooltip,,"추가 기믹이 없는 기준 적","A baseline enemy with no additional mechanic."
enemy.catalog.g002.name,적 이름,title,,"돌입 잔재","Assault Remnant"
enemy.catalog.g002.description,적 설명,tooltip,,"첫 방어막 공격의 피해량이 25% 증가한다.","Its first attack against the core deals 25% more damage."
enemy.catalog.g003.name,적 이름,title,,"중장 잔재","Heavy Remnant"
enemy.catalog.g003.description,적 설명,tooltip,,"기절과 행동 방해의 지속시간이 50% 감소한다.","Stun and control durations applied to it are reduced by 50%."
enemy.catalog.g004.name,적 이름,title,,"충각 잔재","Rammer Remnant"
enemy.catalog.g004.description,적 설명,tooltip,,"1.2초 충전 후 다음 방어막 공격이 80% 증가한다. 충전 중 기절이나 지정된 방해 효과를 받으면 취소된다.","After charging for 1.2 seconds, its next core attack deals 80% more damage. Stun or forced control interrupts the charge."
enemy.catalog.g005.name,적 이름,title,,"돌파 잔재","Breacher Remnant"
enemy.catalog.g005.description,적 설명,tooltip,,"첫 공격은 방어막 피해 경감 효과를 20% 무시한다.","Its first core attack ignores 20% of core damage mitigation."
enemy.catalog.g006.name,적 이름,title,,"포식 잔재","Predator Remnant"
enemy.catalog.g006.description,적 설명,tooltip,,"체력 50% 이하에서 방어막 공격력이 25% 증가한다.","At or below 50% health, its core attack damage increases by 25%."
enemy.catalog.g007.name,적 이름,title,,"분열 잔재","Splitter Remnant"
enemy.catalog.g007.description,적 설명,tooltip,,"처치 시 소형 잔재 2개를 생성한다. 분열체는 다시 분열하지 않는다.","On death, it creates two small remnants that cannot split again."
enemy.catalog.g008.name,적 이름,title,,"군집 잔재","Swarm Remnant"
enemy.catalog.g008.description,적 설명,tooltip,,"한 번의 생성 이벤트로 총 3~5개의 군집 잔재가 등장한다.","A single spawn event produces a group of three to five swarm remnants."
enemy.catalog.g009.name,적 이름,title,,"장갑 잔재","Armored Remnant"
enemy.catalog.g009.description,적 설명,tooltip,,"3초마다 받는 첫 직접 피해를 35% 감소시킨다.","Every three seconds, the first direct hit against it is reduced by 35%."
enemy.catalog.g010.name,적 이름,title,,"재생 잔재","Regenerator Remnant"
enemy.catalog.g010.description,적 설명,tooltip,,"3초 동안 피해를 받지 않으면 2초마다 최대 체력의 3%를 회복한다.","After taking no damage for three seconds, it heals 3% of maximum health every two seconds."
enemy.catalog.g011.name,적 이름,title,,"방화 잔재","Burner Remnant"
enemy.catalog.g011.description,적 설명,tooltip,,"방어막에 4초 화상 1중첩을 부여한다. 최대 3중첩이다.","Core hits apply one four-second burn stack, up to three stacks."
enemy.catalog.g012.name,적 이름,title,,"출혈 잔재","Bleeder Remnant"
enemy.catalog.g012.description,적 설명,tooltip,,"방어막 공격마다 중첩을 얻고 중첩당 이후 피해가 10% 증가한다. 기절되면 1중첩이 감소한다.","Each core hit grants a stack that increases later core damage by 10%. Stun removes one stack."
enemy.catalog.g013.name,적 이름,title,,"독성 잔재","Toxic Remnant"
enemy.catalog.g013.description,적 설명,tooltip,,"처치되면 4초 동안 방어막 회복량을 25% 감소시키는 독성 지대를 남긴다.","On death, it leaves a four-second toxic zone that reduces core recovery by 25%."
enemy.catalog.g014.name,적 이름,title,,"파동 잔재","Pulsar Remnant"
enemy.catalog.g014.description,적 설명,tooltip,,"반경 3 안의 적 방어막 공격 주기를 15% 단축한다.","Enemy core attack intervals within radius 3 are shortened by 15%."
enemy.catalog.g015.name,적 이름,title,,"침식 잔재","Eroder Remnant"
enemy.catalog.g015.description,적 설명,tooltip,,"방어막 공격이 최대치를 5% 감소시킨다. 최대 2중첩이며 6초 후 하나씩 사라진다.","Core hits reduce maximum core health by 5%, up to two stacks, with each stack expiring after six seconds."
enemy.catalog.g016.name,적 이름,title,,"흡수 잔재","Absorber Remnant"
enemy.catalog.g016.description,적 설명,tooltip,,"반경 2.5 안의 적이 죽으면 최대 체력 10%의 보호막과 체력 5%를 얻는다. 최대 3회다.","When a nearby enemy dies, it gains a shield equal to 10% of maximum health and heals 5%, up to three times."
enemy.catalog.g017.name,적 이름,title,,"닻 잔재","Anchor Remnant"
enemy.catalog.g017.description,적 설명,tooltip,,"자신의 기절 지속시간은 50%, 반경 2.5 안 아군은 25% 감소한다.","Its stun duration is reduced by 50%; nearby allies receive a 25% reduction."
enemy.catalog.g018.name,적 이름,title,,"결속 잔재","Binder Remnant"
enemy.catalog.g018.description,적 설명,tooltip,,"가장 가까운 적 하나와 연결되어 받은 피해의 20%를 공유한다.","It links to the nearest enemy and shares 20% of incoming damage."
enemy.catalog.g019.name,적 이름,title,,"미끼 잔재","Decoy Remnant"
enemy.catalog.g019.description,적 설명,tooltip,,"10초마다 3초 동안 자동 공격 우선순위를 자신에게 유도한다.","Every ten seconds, it draws automatic target priority to itself for three seconds."
enemy.catalog.g020.name,적 이름,title,,"흡혈 잔재","Siphon Remnant"
enemy.catalog.g020.description,적 설명,tooltip,,"방어막에 실제로 준 피해의 25%를 체력으로 회복한다.","It heals for 25% of the damage actually dealt to the core."
enemy.catalog.g021.name,적 이름,title,,"분쇄 잔재","Crusher Remnant"
enemy.catalog.g021.description,적 설명,tooltip,,"3초 충전 후 방어막에 2.2배 피해를 준다. 충전 중에는 공격하지 않는다.","After charging for three seconds, it deals 2.2 times core damage and does not attack while charging."
enemy.catalog.g022.name,적 이름,title,,"잔향 잔재","Echo Remnant"
enemy.catalog.g022.description,적 설명,tooltip,,"처치 시 반경 3 안 일반 적의 마지막 능력을 50% 효과로 한 번 재생한다.","On death, it replays one nearby non-elite ability at 50% effectiveness."
enemy.catalog.g023.name,적 이름,title,,"운반 잔재","Carrier Remnant"
enemy.catalog.g023.description,적 설명,tooltip,,"체력 40% 이하 또는 방어선 첫 도착 시 전투당 한 번 기본 잔재 2개를 생성한다.","Once per battle, at 40% health or first core contact, it summons two basic remnants."
enemy.catalog.g024.name,적 이름,title,,"방해 잔재","Disruptor Remnant"
enemy.catalog.g024.description,적 설명,tooltip,,"활성 중 플레이어의 에너지 회복량을 20% 감소시킨다.","While active, it reduces player energy recovery by 20%."
enemy.catalog.g025.name,적 이름,title,,"반사 잔재","Reflector Remnant"
enemy.catalog.g025.description,적 설명,tooltip,,"8초마다 다음 직접 피해의 35%를 공격자에게 반사한다.","Every eight seconds, it reflects 35% of the next direct hit to its source."
enemy.catalog.g026.name,적 이름,title,,"분광 잔재","Prism Remnant"
enemy.catalog.g026.description,적 설명,tooltip,,"2초 안에 같은 공격원으로 반복 피격되면 그 공격원의 피해를 25% 감소시킨다.","Repeated damage from the same source within two seconds is reduced by 25%; changing source resets the resistance."
enemy.catalog.g027.name,적 이름,title,,"포자 잔재","Spore Remnant"
enemy.catalog.g027.description,적 설명,tooltip,,"처치 시 6초 뒤 기본 잔재 2개를 만드는 파괴 가능한 알을 남긴다.","On death, it leaves a destructible egg that summons two basic remnants after six seconds."
enemy.catalog.g028.name,적 이름,title,,"냉각 잔재","Chiller Remnant"
enemy.catalog.g028.description,적 설명,tooltip,,"반경 3 안에서 플레이어 자동 행동 주기를 15% 증가시킨다.","It increases designated player automatic action periods by 15% within radius 3."
enemy.catalog.g029.name,적 이름,title,,"전환 잔재","Switchback Remnant"
enemy.catalog.g029.description,적 설명,tooltip,,"체력 50% 이하에서 받는 피해가 20% 감소하고 공격 주기가 20% 단축된다.","At or below 50% health, incoming damage is reduced by 20% and its core attack interval is shortened by 20%."
enemy.catalog.g030.name,적 이름,title,,"공명 잔재","Resonant Remnant"
enemy.catalog.g030.description,적 설명,tooltip,,"반경 2.5 안에서 잔재 태그를 공유하는 적의 공격력이 10% 증가하고 주기가 10% 단축된다.","Nearby enemies sharing the remnant tag gain 10% core damage and 10% shorter attack intervals."
enemy.catalog.s001.name,적 이름,title,,"치유 담당","Medic Remnant"
enemy.catalog.s001.description,적 설명,tooltip,,"4초마다 반경 3 안에서 체력 비율이 가장 낮은 아군을 최대 체력의 8% 회복한다.","Every four seconds, it heals the nearby ally with the lowest health percentage for 8% of maximum health."
enemy.catalog.s002.name,적 이름,title,,"정비 담당","Mechanic Remnant"
enemy.catalog.s002.description,적 설명,tooltip,,"10초마다 누적 피해량이 가장 높은 플레이어 대상을 5초 기절시킨다.","Every ten seconds, it stuns the player character with the highest total damage for five seconds."
enemy.catalog.s003.name,적 이름,title,,"침투자","Infiltrator Remnant"
enemy.catalog.s003.description,적 설명,tooltip,,"첫 방어막 공격에 한해 방어막 경감과 일부 보호 효과를 30% 무시한다.","Its first core attack bypasses 30% of core mitigation and compatible protection effects."
enemy.catalog.s004.name,적 이름,title,,"선봉","Pointman Remnant"
enemy.catalog.s004.description,적 설명,tooltip,,"반경 3 안 적의 방어막 공격력은 10% 증가하고 공격 주기는 15% 단축된다.","Nearby enemies gain 10% core damage and 15% shorter core attack intervals."
enemy.catalog.s005.name,적 이름,title,,"방패 운반자","Shield Bearer Remnant"
enemy.catalog.s005.description,적 설명,tooltip,,"6초마다 반경 2.5 안 아군 2명에게 최대 체력 15%의 보호막을 부여한다.","Every six seconds, it shields two nearby allies for 15% of their maximum health."
enemy.catalog.s006.name,적 이름,title,,"무효화자","Nullifier Remnant"
enemy.catalog.s006.description,적 설명,tooltip,,"8초마다 주변 아군의 약화 효과를 제거하고 3초 동안 상태 이상 면역을 부여한다.","Every eight seconds, it cleanses nearby allies and grants three seconds of status immunity."
enemy.catalog.s007.name,적 이름,title,,"소환자","Summoner Remnant"
enemy.catalog.s007.description,적 설명,tooltip,,"12초마다 기본 잔재 1개 또는 군집 잔재 2개를 생성한다. 최대 3회다.","Every twelve seconds, it summons one basic remnant or two swarm remnants, up to three activations."
enemy.catalog.s008.name,적 이름,title,,"위상 보행자","Phase Walker Remnant"
enemy.catalog.s008.description,적 설명,tooltip,,"10초마다 0.8초 전조 후 1초 동안 타깃 불가가 된다.","Every ten seconds, a 0.8-second telegraph precedes one second of untargetability."
enemy.catalog.s009.name,적 이름,title,,"공작자","Saboteur Remnant"
enemy.catalog.s009.description,적 설명,tooltip,,"방어선 첫 도착 시 6초 동안 에너지와 방어막 회복량을 각각 30% 감소시킨다.","On first core contact, it reduces energy and core recovery by 30% for six seconds."
enemy.catalog.s010.name,적 이름,title,,"연결자","Linker Remnant"
enemy.catalog.s010.description,적 설명,tooltip,,"반경 3 안 최대 3명을 연결해 피해 30%를 공유하고, 사망 시 생존자의 공격력을 5초간 20% 높인다.","It links up to three nearby enemies to share 30% damage; a linked death grants survivors 20% core damage for five seconds."
enemy.catalog.e001.name,적 이름,title,,"철벽 지휘관","Bastion Commander"
enemy.catalog.e001.description,적 설명,tooltip,,"최대 체력 15%의 보호막 2겹과 주변 적 피해 감소 20%를 제공하며, 한 겹 파괴 후 감소율은 10%가 된다.","It has two barrier layers worth 15% maximum health each and reduces nearby ally damage taken by 20%, falling to 10% after one layer breaks."
enemy.catalog.e002.name,적 이름,title,,"시간 수확자","Time Harvester"
enemy.catalog.e002.description,적 설명,tooltip,,"12초마다 5초 동안 모든 적 공격 및 소환 주기를 20% 단축한다.","Every twelve seconds, it shortens all enemy attack and summon intervals by 20% for five seconds."
enemy.catalog.e003.name,적 이름,title,,"군체 여왕","Brood Matriarch"
enemy.catalog.e003.description,적 설명,tooltip,,"10초마다 군집 잔재 알을 만들며 체력 50% 이하에서는 6초마다 생성한다. 활성 알은 최대 3개다.","It creates a swarm egg every ten seconds, or every six seconds below 50% health, with at most three active eggs."
enemy.catalog.e004.name,적 이름,title,,"코어 사냥꾼","Core Hunter"
enemy.catalog.e004.description,적 설명,tooltip,,"방어막 피해의 30%를 보호막으로 전환한다. 12초마다 5초 충전 후 최대 방어막을 8% 감소시킨다.","It converts 30% of core damage dealt into shield and, every twelve seconds, charges for five seconds before reducing maximum core health by 8%."
enemy.catalog.e005.name,적 이름,title,,"기억 재판관","Memory Judge"
enemy.catalog.e005.description,적 설명,tooltip,,"12초마다 무작위 손패 1장을 4초 잠근다. 체력 40% 이하에서는 5초 동안 모든 카드 비용이 1 증가한다.","Every twelve seconds, it locks a random hand card for four seconds. Below 40% health, all cards cost one more for five seconds."
enemy.catalog.b001.name,적 이름,title,,"숲의 관문자","Gatekeeper of the Forest"
enemy.catalog.b001.description,적 설명,tooltip,,"P1은 12초 소환, P2는 침식 지대와 회복·최대치 감소, P3는 5초 충전 후 4배 공격을 사용한다.","Phase 1 summons escorts every twelve seconds; phase 2 creates erosion zones and suppresses core recovery; phase 3 charges for five seconds before a four-times core attack."
enemy.catalog.b001.phase.p1.name,보스 페이즈 이름,title,,"문 앞의 행진","March Before the Gate"
enemy.catalog.b001.phase.p2.name,보스 페이즈 이름,title,,"기억의 침식","Memory Erosion"
enemy.catalog.b001.phase.p3.name,보스 페이즈 이름,title,,"관문 개방","Gate Opening"
ui.dungeon.card.locked,전투 카드 상태,body,,잠금,Locked
